0.4		5.00439e14		5.24862e14		2.50139e14		8.76052e14		9.00601e13		1.0e15
0.5		2.16259e13		2.04866e13		9.60348e12		3.20289e13		4.48074e12		4.54359e13
0.6		2.18434e12		2.07227e12		9.50245e11		3.27994e12		3.99713e11		4.84769e12
0.7		6.28837e11		6.04488e11		2.79196e11		1.03383e12		1.39513e11		1.51232e12
0.8		2.5882e11		2.40957e11		1.12845e11		4.02248e11		5.33408e10		5.06701e11
0.9		1.30255e11		1.25887e11		5.6461e10		2.03421e11		2.57019e10		2.59766e11
1		7.53763e10		7.04668e10		3.30265e10		1.10016e11		1.64317e10		1.7009e11
2		4.05238e9		3.74223e9		1.64932e9		6.21739e9		9.1565e8		7.9058e9
3		1.24523e9		9.35559e8		4.03545e8		1.67831e9		2.11474e8		2.08934e9
5		2.81367e8		1.76123e8		8.09492e7		2.87652e8		3.93598e7		3.52784e8
