0.4		8.48092e14		8.917e14		4.235e14		1.56867e15		1.91996e14		2.03898e15
0.5		1.71296e14		1.57738e14		7.06528e13		2.64676e14		1.33569e13		3.33406e14
0.6		1.00442e13		9.97693e12		4.60795e12		1.71505e13		1.70817e12		2.15396e13
0.7		4.17828e12		4.03824e12		1.84493e12		6.12511e12		7.82085e11		1.18369e13
0.8		2.59892e12		2.46786e12		1.13279e12		4.05798e12		3.6877e11		5.01292e12
0.9		1.79617e12		1.78637e12		8.01405e11		2.94665e12		2.62809e11		3.57002e12
1		1.47655e12		1.34719e12		6.46102e11		2.26839e12		2.50438e11		3.11772e12
2		7.32806e11		6.97673e11		3.19569e11		1.20111e12		1.40285e11		1.57102e12
3		8.53876e11		6.81999e11		3.10945e11		1.18346e12		1.32362e11		1.5413e12
4		6.17468e11		6.84169e11		3.00387e11		1.03637e12		1.33352e11		1.49277e12
5		1.04587e12		7.68581e11		3.57659e11		1.31992e12		1.66472e11		1.65842e12
